hospital_id,hospital_name,city,state,city_tier,hospital_type,beds,doctors,num_specializations,specializations,established_year,rating
16,Bengaluru Super Specialty Hospital,Bengaluru,Karnataka,Tier 1,Government,864,104,15,"Anesthesiology, Cardiology, Dermatology, ENT, Emergency Medicine, General Surgery, Gynecology & Obstetrics, Nephrology, Neurology, Oncology, Ophthalmology, Pediatrics, Psychiatry, Pulmonology, Urology",2007,4.0
17,Bengaluru Super Specialty Hospital #2,Bengaluru,Karnataka,Tier 1,Government,581,77,20,"Anesthesiology, Cardiology, Dermatology, ENT, Emergency Medicine, Endocrinology, Gastroenterology, General Medicine, General Surgery, Gynecology & Obstetrics, Nephrology, Neurology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Pulmonology, Radiology, Urology",1967,3.0
18,All India Institute Bengaluru,Bengaluru,Karnataka,Tier 1,Private,906,130,16,"Anesthesiology, Dermatology, ENT, Emergency Medicine, General Medicine, General Surgery, Gynecology & Obstetrics, Nephrology, Neurology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Pulmonology, Radiology, Urology",2019,4.8
19,All India Institute Bengaluru #2,Bengaluru,Karnataka,Tier 1,Trust/NGO,512,55,12,"Cardiology, Dermatology, Emergency Medicine, Gastroenterology, General Medicine, General Surgery, Gynecology & Obstetrics, Nephrology, Neurology, Ophthalmology, Orthopedics, Psychiatry",1972,4.5
20,St. Mary's Hospital Chennai,Chennai,Tamil Nadu,Tier 1,Government,616,121,16,"Anesthesiology, Cardiology, Dermatology, Emergency Medicine, Endocrinology, Gastroenterology, General Surgery, Gynecology & Obstetrics, Nephrology, Neurology, Oncology, Ophthalmology, Pediatrics, Psychiatry, Radiology, Urology",2021,4.9
21,Chennai General Hospital,Chennai,Tamil Nadu,Tier 1,Government,1039,186,16,"Anesthesiology, Cardiology, Dermatology, ENT, Emergency Medicine, Endocrinology, Gastroenterology, General Medicine, General Surgery, Nephrology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Pulmonology",2020,4.2
22,St. Mary's Hospital Chennai #2,Chennai,Tamil Nadu,Tier 1,Private,405,57,18,"Anesthesiology, Cardiology, Dermatology, ENT, Emergency Medicine, Endocrinology, Gastroenterology, General Medicine, General Surgery, Nephrology, Neurology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Radiology, Urology",1973,3.7
23,Chennai Wellness & Research Hospital,Chennai,Tamil Nadu,Tier 1,Private,809,136,20,"Anesthesiology, Cardiology, Dermatology, ENT, Emergency Medicine, Endocrinology, Gastroenterology, General Medicine, General Surgery, Gynecology & Obstetrics, Nephrology, Neurology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Pulmonology, Radiology, Urology",1975,4.9
24,Chennai Wellness & Research Hospital #2,Chennai,Tamil Nadu,Tier 1,Private,299,48,11,"Anesthesiology, Cardiology, Gastroenterology, General Medicine, Nephrology, Neurology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Pulmonology",1971,4.5
25,Chennai Apex Hospital,Chennai,Tamil Nadu,Tier 1,Private,660,74,17,"Dermatology, ENT, Emergency Medicine, Endocrinology, Gastroenterology, General Medicine, General Surgery, Gynecology & Obstetrics, Nephrology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Pulmonology, Radiology, Urology",2008,3.3
26,Chennai Super Specialty Hospital,Chennai,Tamil Nadu,Tier 1,Private,1142,163,17,"Anesthesiology, Cardiology, Dermatology, ENT, Endocrinology, Gastroenterology, General Medicine, Gynecology & Obstetrics, Nephrology, Neurology, Oncology, Ophthalmology, Orthopedics, Psychiatry, Pulmonology, Radiology, Urology",1986,3.5
27,Chennai City Care Hospital,Chennai,Tamil Nadu,Tier 1,Private,573,77,19,"Anesthesiology, Cardiology, Dermatology, ENT, Emergency Medicine, Endocrinology, Gastroenterology, General Medicine, Gynecology & Obstetrics, Nephrology, Neurology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Pulmonology, Radiology, Urology",1984,3.5
28,Chennai District Hospital,Chennai,Tamil Nadu,Tier 1,Private,1107,123,16,"Anesthesiology, Cardiology, Emergency Medicine, Endocrinology, Gastroenterology, General Surgery, Gynecology & Obstetrics, Nephrology, Neurology, Oncology, Orthopedics, Pediatrics, Psychiatry, Pulmonology, Radiology, Urology",1981,4.4
29,Kolkata Super Specialty Hospital,Kolkata,West Bengal,Tier 1,Private,1013,189,17,"Anesthesiology, Cardiology, Dermatology, ENT, Emergency Medicine, Endocrinology, Gastroenterology, General Medicine, General Surgery, Nephrology, Neurology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Radiology, Urology",1975,3.1
30,Kolkata Institute of Medical Sciences,Kolkata,West Bengal,Tier 1,Private,596,97,15,"Anesthesiology, Cardiology, ENT, Endocrinology, General Medicine, General Surgery, Gynecology & Obstetrics, Nephrology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Pulmonology, Radiology, Urology",2004,4.5
31,Kolkata Multispecialty Hospital,Kolkata,West Bengal,Tier 1,Government,767,90,19,"Anesthesiology, Cardiology, Dermatology, ENT, Emergency Medicine, Endocrinology, Gastroenterology, General Medicine, General Surgery, Gynecology & Obstetrics, Nephrology, Neurology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Radiology, Urology",2006,3.9
32,Kolkata Super Specialty Hospital #2,Kolkata,West Bengal,Tier 1,Private,1140,183,15,"Anesthesiology, Cardiology, Dermatology, ENT, Endocrinology, Gastroenterology, General Medicine, Gynecology & Obstetrics, Nephrology, Oncology, Ophthalmology, Orthopedics, Pulmonology, Radiology, Urology",1971,3.8
33,St. Mary's Hospital Kolkata,Kolkata,West Bengal,Tier 1,Private,847,159,18,"Anesthesiology, Cardiology, Dermatology, ENT, Emergency Medicine, Endocrinology, Gastroenterology, General Medicine, General Surgery, Gynecology & Obstetrics, Nephrology, Oncology, Orthopedics, Pediatrics, Psychiatry, Pulmonology, Radiology, Urology",1985,4.3
34,Kolkata Super Specialty Hospital #3,Kolkata,West Bengal,Tier 1,Private,905,148,16,"Anesthesiology, Dermatology, Emergency Medicine, Endocrinology, General Medicine, Gynecology & Obstetrics, Nephrology, Neurology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Pulmonology, Radiology, Urology",1977,4.3
35,Kolkata Apex Hospital,Kolkata,West Bengal,Tier 1,Private,355,47,7,"Cardiology, ENT, Endocrinology, Gynecology & Obstetrics, Pediatrics, Psychiatry, Pulmonology",2022,2.9
36,Kolkata Super Specialty Hospital #4,Kolkata,West Bengal,Tier 1,Private,408,66,11,"Anesthesiology, Cardiology, ENT, Endocrinology, Gastroenterology, Gynecology & Obstetrics, Oncology, Pediatrics, Pulmonology, Radiology, Urology",1967,4.5
37,Kolkata District Hospital,Kolkata,West Bengal,Tier 1,Private,259,58,6,"Anesthesiology, Emergency Medicine, Gastroenterology, General Medicine, General Surgery, Orthopedics",1993,3.6
38,Hyderabad Super Specialty Hospital,Hyderabad,Telangana,Tier 1,Private,1028,181,19,"Anesthesiology, Cardiology, Dermatology, Emergency Medicine, Endocrinology, Gastroenterology, General Medicine, General Surgery, Gynecology & Obstetrics, Nephrology, Neurology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Pulmonology, Radiology, Urology",1974,3.4
39,Hyderabad Super Specialty Hospital #2,Hyderabad,Telangana,Tier 1,Private,1079,249,14,"Cardiology, Emergency Medicine, Gastroenterology, General Medicine, General Surgery, Nephrology, Neurology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Pulmonology, Radiology",2007,4.5
40,Hyderabad Super Specialty Hospital #3,Hyderabad,Telangana,Tier 1,Private,1109,155,14,"Anesthesiology, Cardiology, ENT, Emergency Medicine, Endocrinology, Gastroenterology, General Surgery, Gynecology & Obstetrics, Nephrology, Oncology, Pediatrics, Psychiatry, Pulmonology, Urology",1974,4.8
41,Hyderabad Wellness & Research Hospital,Hyderabad,Telangana,Tier 1,Private,192,24,10,"ENT, Emergency Medicine, Endocrinology, Gynecology & Obstetrics, Nephrology, Neurology, Oncology, Pediatrics, Pulmonology, Urology",2000,4.5
42,Hyderabad Institute of Medical Sciences,Hyderabad,Telangana,Tier 1,Private,986,172,12,"Cardiology, Dermatology, ENT, Emergency Medicine, Gastroenterology, General Medicine, General Surgery, Gynecology & Obstetrics, Neurology, Ophthalmology, Pulmonology, Radiology",1976,3.5
43,Hyderabad District Hospital,Hyderabad,Telangana,Tier 1,Private,152,29,9,"Cardiology, Endocrinology, Gastroenterology, General Medicine, Nephrology, Neurology, Ophthalmology, Psychiatry, Pulmonology",1973,3.4
44,All India Institute Hyderabad,Hyderabad,Telangana,Tier 1,Trust/NGO,1047,134,11,"Anesthesiology, Cardiology, Dermatology, ENT, Gastroenterology, General Medicine, Gynecology & Obstetrics, Nephrology, Neurology, Orthopedics, Radiology",2020,3.0
45,All India Institute Hyderabad #2,Hyderabad,Telangana,Tier 1,Private,747,117,16,"Anesthesiology, Dermatology, ENT, Emergency Medicine, Endocrinology, Gastroenterology, Nephrology, Neurology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Pulmonology, Radiology, Urology",2012,2.8
46,Hyderabad Super Specialty Hospital #4,Hyderabad,Telangana,Tier 1,Private,1152,147,18,"Anesthesiology, Cardiology, Dermatology, ENT, Emergency Medicine, Endocrinology, Gastroenterology, General Medicine, General Surgery, Gynecology & Obstetrics, Nephrology, Oncology, Ophthalmology, Orthopedics, Psychiatry, Pulmonology, Radiology, Urology",1990,4.3
47,Pune District Hospital,Pune,Maharashtra,Tier 1,Trust/NGO,461,67,12,"Cardiology, Dermatology, Emergency Medicine, Endocrinology, Gastroenterology, Nephrology, Neurology, Oncology, Ophthalmology, Orthopedics, Radiology, Urology",1964,3.8
48,Pune Super Specialty Hospital,Pune,Maharashtra,Tier 1,Government,964,137,20,"Anesthesiology, Cardiology, Dermatology, ENT, Emergency Medicine, Endocrinology, Gastroenterology, General Medicine, General Surgery, Gynecology & Obstetrics, Nephrology, Neurology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Pulmonology, Radiology, Urology",1962,3.5
49,Pune General Hospital,Pune,Maharashtra,Tier 1,Government,917,151,18,"Anesthesiology, Dermatology, ENT, Emergency Medicine, Endocrinology, Gastroenterology, General Medicine, General Surgery, Gynecology & Obstetrics, Nephrology, Neurology, Oncology, Ophthalmology, Orthopedics, Psychiatry, Pulmonology, Radiology, Urology",2002,2.8
50,Pune City Care Hospital,Pune,Maharashtra,Tier 1,Trust/NGO,473,114,19,"Anesthesiology, Cardiology, Dermatology, ENT, Emergency Medicine, Endocrinology, Gastroenterology, General Medicine, General Surgery, Gynecology & Obstetrics, Nephrology, Neurology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Radiology, Urology",1996,4.6
51,Pune General Hospital #2,Pune,Maharashtra,Tier 1,Trust/NGO,1167,146,13,"Anesthesiology, Cardiology, Dermatology, Gastroenterology, General Medicine, General Surgery, Nephrology, Neurology, Oncology, Ophthalmology, Psychiatry, Radiology, Urology",1979,4.5
52,Pune General Hospital #3,Pune,Maharashtra,Tier 1,Private,419,98,15,"Cardiology, Dermatology, Emergency Medicine, Endocrinology, Gastroenterology, General Medicine, General Surgery, Gynecology & Obstetrics, Nephrology, Oncology, Ophthalmology, Pediatrics, Psychiatry, Radiology, Urology",1989,4.8
53,All India Institute Pune,Pune,Maharashtra,Tier 1,Private,612,80,18,"Anesthesiology, Cardiology, Dermatology, Emergency Medicine, Endocrinology, Gastroenterology, General Medicine, General Surgery, Gynecology & Obstetrics, Nephrology, Neurology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Pulmonology, Urology",1999,4.7
54,Pune Apex Hospital,Pune,Maharashtra,Tier 1,Government,603,92,14,"Dermatology, Emergency Medicine, Endocrinology, Gastroenterology, General Medicine, General Surgery, Nephrology, Neurology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Pulmonology, Radiology",1983,4.2
55,Pune Apex Hospital #2,Pune,Maharashtra,Tier 1,Private,466,53,17,"Anesthesiology, Cardiology, Dermatology, ENT, Emergency Medicine, Endocrinology, Gastroenterology, General Surgery, Gynecology & Obstetrics, Neurology, Oncology, Ophthalmology, Orthopedics, Psychiatry, Pulmonology, Radiology, Urology",2021,3.1
56,Ahmedabad Institute of Medical Sciences,Ahmedabad,Gujarat,Tier 1,Private,193,50,7,"ENT, Emergency Medicine, Nephrology, Oncology, Orthopedics, Pediatrics, Radiology",2012,4.6
57,St. Mary's Hospital Ahmedabad,Ahmedabad,Gujarat,Tier 1,Private,155,27,7,"Cardiology, Dermatology, Emergency Medicine, Gynecology & Obstetrics, Oncology, Orthopedics, Pulmonology",1982,4.5
58,Ahmedabad Multispecialty Hospital,Ahmedabad,Gujarat,Tier 1,Private,182,33,7,"Endocrinology, Gastroenterology, General Medicine, General Surgery, Oncology, Orthopedics, Pulmonology",1983,3.9
59,Ahmedabad Institute of Medical Sciences #2,Ahmedabad,Gujarat,Tier 1,Private,603,65,20,"Anesthesiology, Cardiology, Dermatology, ENT, Emergency Medicine, Endocrinology, Gastroenterology, General Medicine, General Surgery, Gynecology & Obstetrics, Nephrology, Neurology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Pulmonology, Radiology, Urology",1999,4.1
60,Ahmedabad Apex Hospital,Ahmedabad,Gujarat,Tier 1,Private,930,107,17,"Anesthesiology, Cardiology, Dermatology, Emergency Medicine, Endocrinology, Gastroenterology, General Medicine, General Surgery, Gynecology & Obstetrics, Nephrology, Oncology, Ophthalmology, Orthopedics, Psychiatry, Pulmonology, Radiology, Urology",1980,4.2
61,St. Mary's Hospital Ahmedabad #2,Ahmedabad,Gujarat,Tier 1,Trust/NGO,1121,255,11,"Anesthesiology, Dermatology, ENT, General Surgery, Gynecology & Obstetrics, Neurology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Pulmonology",1986,3.5
62,Ahmedabad District Hospital,Ahmedabad,Gujarat,Tier 1,Private,255,32,8,"Anesthesiology, Endocrinology, Gastroenterology, Nephrology, Ophthalmology, Orthopedics, Pediatrics, Radiology",2014,3.0
63,Ahmedabad Apex Hospital #2,Ahmedabad,Gujarat,Tier 1,Private,720,112,18,"Anesthesiology, Cardiology, Dermatology, Emergency Medicine, Endocrinology, General Medicine, General Surgery, Gynecology & Obstetrics, Nephrology, Neurology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Pulmonology, Radiology, Urology",1969,4.4
64,Ahmedabad General Hospital,Ahmedabad,Gujarat,Tier 1,Government,590,109,15,"Anesthesiology, Cardiology, ENT, Emergency Medicine, General Medicine, General Surgery, Gynecology & Obstetrics, Neurology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Pulmonology, Urology",1987,3.8
65,Jaipur District Hospital,Jaipur,Rajasthan,Tier 2,Government,196,32,8,"ENT, Emergency Medicine, Endocrinology, Nephrology, Neurology, Orthopedics, Pulmonology, Radiology",1963,2.8
66,Jaipur Super Specialty Hospital,Jaipur,Rajasthan,Tier 2,Trust/NGO,220,32,8,"Cardiology, Dermatology, General Surgery, Gynecology & Obstetrics, Nephrology, Oncology, Orthopedics, Pulmonology",2005,3.3
67,Jaipur Apex Hospital,Jaipur,Rajasthan,Tier 2,Private,442,97,16,"Anesthesiology, Cardiology, Dermatology, ENT, Emergency Medicine, Endocrinology, General Medicine, General Surgery, Nephrology, Neurology, Oncology, Ophthalmology, Pediatrics, Psychiatry, Pulmonology, Urology",2011,4.8
68,Jaipur City Care Hospital,Jaipur,Rajasthan,Tier 2,Private,450,99,13,"Anesthesiology, Endocrinology, General Medicine, General Surgery, Gynecology & Obstetrics, Nephrology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Pulmonology, Radiology",1964,3.9
69,Jaipur Institute of Medical Sciences,Jaipur,Rajasthan,Tier 2,Private,278,38,8,"Anesthesiology, Dermatology, ENT, Emergency Medicine, Gastroenterology, Oncology, Orthopedics, Pediatrics",1969,4.4
70,Lucknow Institute of Medical Sciences,Lucknow,Uttar Pradesh,Tier 2,Government,585,101,20,"Anesthesiology, Cardiology, Dermatology, ENT, Emergency Medicine, Endocrinology, Gastroenterology, General Medicine, General Surgery, Gynecology & Obstetrics, Nephrology, Neurology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Pulmonology, Radiology, Urology",1983,4.5
71,Lucknow Institute of Medical Sciences #2,Lucknow,Uttar Pradesh,Tier 2,Private,172,31,9,"Dermatology, ENT, Emergency Medicine, Gastroenterology, Gynecology & Obstetrics, Nephrology, Neurology, Radiology, Urology",1969,4.8
72,Lucknow City Care Hospital,Lucknow,Uttar Pradesh,Tier 2,Government,431,45,18,"Anesthesiology, Cardiology, Dermatology, ENT, Endocrinology, Gastroenterology, General Medicine, General Surgery, Gynecology & Obstetrics, Nephrology, Neurology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Pulmonology, Urology",2001,3.5
73,St. Mary's Hospital Lucknow,Lucknow,Uttar Pradesh,Tier 2,Government,475,86,15,"Anesthesiology, ENT, Emergency Medicine, Endocrinology, Gastroenterology, Nephrology, Neurology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Pulmonology, Radiology, Urology",2001,4.5
74,All India Institute Lucknow,Lucknow,Uttar Pradesh,Tier 2,Private,175,32,10,"Anesthesiology, Cardiology, ENT, Gastroenterology, General Medicine, Gynecology & Obstetrics, Orthopedics, Psychiatry, Pulmonology, Urology",1974,4.9
75,All India Institute Lucknow #2,Lucknow,Uttar Pradesh,Tier 2,Government,183,23,11,"ENT, Gastroenterology, General Medicine, General Surgery, Gynecology & Obstetrics, Oncology, Ophthalmology, Pediatrics, Psychiatry, Radiology, Urology",1962,3.7
76,Chandigarh Multispecialty Hospital,Chandigarh,Chandigarh,Tier 2,Trust/NGO,371,56,7,"ENT, Emergency Medicine, Gastroenterology, Gynecology & Obstetrics, Nephrology, Ophthalmology, Pulmonology",2020,4.0
77,Chandigarh City Care Hospital,Chandigarh,Chandigarh,Tier 2,Private,368,54,7,"Dermatology, General Surgery, Gynecology & Obstetrics, Nephrology, Neurology, Pediatrics, Pulmonology",1995,4.8
78,Chandigarh Apex Hospital,Chandigarh,Chandigarh,Tier 2,Private,371,83,8,"Anesthesiology, Endocrinology, Gastroenterology, General Surgery, Oncology, Orthopedics, Pediatrics, Urology",2016,3.5
79,Chandigarh General Hospital,Chandigarh,Chandigarh,Tier 2,Private,485,76,16,"Anesthesiology, Cardiology, Dermatology, ENT, Endocrinology, Gastroenterology, General Surgery, Gynecology & Obstetrics, Neurology, Oncology, Ophthalmology, Orthopedics, Psychiatry, Pulmonology, Radiology, Urology",2008,4.3
80,Chandigarh City Care Hospital #2,Chandigarh,Chandigarh,Tier 2,Private,161,40,12,"Anesthesiology, Cardiology, Emergency Medicine, Endocrinology, General Medicine, General Surgery, Neurology, Orthopedics, Pediatrics, Pulmonology, Radiology, Urology",1986,4.1
81,Chandigarh Wellness & Research Hospital,Chandigarh,Chandigarh,Tier 2,Private,193,33,10,"Cardiology, ENT, Emergency Medicine, Endocrinology, Gastroenterology, Gynecology & Obstetrics, Nephrology, Pediatrics, Pulmonology, Radiology",1975,4.0
82,Kochi Institute of Medical Sciences,Kochi,Kerala,Tier 2,Private,449,98,16,"Anesthesiology, Cardiology, Dermatology, Emergency Medicine, Endocrinology, General Medicine, General Surgery, Gynecology & Obstetrics, Neurology, Oncology, Ophthalmology, Orthopedics, Psychiatry, Pulmonology, Radiology, Urology",1994,3.5
83,All India Institute Kochi,Kochi,Kerala,Tier 2,Private,555,72,20,"Anesthesiology, Cardiology, Dermatology, ENT, Emergency Medicine, Endocrinology, Gastroenterology, General Medicine, General Surgery, Gynecology & Obstetrics, Nephrology, Neurology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Pulmonology, Radiology, Urology",1982,4.6
84,Kochi General Hospital,Kochi,Kerala,Tier 2,Private,419,84,16,"Anesthesiology, Cardiology, Dermatology, ENT, Gastroenterology, General Medicine, Gynecology & Obstetrics, Nephrology, Neurology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Pulmonology, Radiology, Urology",2012,3.2
85,Kochi Super Specialty Hospital,Kochi,Kerala,Tier 2,Government,161,32,8,"Anesthesiology, Cardiology, Gastroenterology, General Surgery, Gynecology & Obstetrics, Psychiatry, Pulmonology, Urology",2015,4.7
86,Indore District Hospital,Indore,Madhya Pradesh,Tier 2,Government,138,38,8,"Cardiology, Emergency Medicine, Endocrinology, Gynecology & Obstetrics, Neurology, Oncology, Pediatrics, Urology",1975,4.4
87,St. Mary's Hospital Indore,Indore,Madhya Pradesh,Tier 2,Private,113,25,8,"Anesthesiology, Gynecology & Obstetrics, Nephrology, Oncology, Ophthalmology, Pediatrics, Psychiatry, Urology",1977,3.3
88,Indore Institute of Medical Sciences,Indore,Madhya Pradesh,Tier 2,Government,270,48,10,"Anesthesiology, Dermatology, ENT, Gastroenterology, Nephrology, Orthopedics, Pediatrics, Psychiatry, Radiology, Urology",1967,3.1
89,Indore Institute of Medical Sciences #2,Indore,Madhya Pradesh,Tier 2,Private,535,64,20,"Anesthesiology, Cardiology, Dermatology, ENT, Emergency Medicine, Endocrinology, Gastroenterology, General Medicine, General Surgery, Gynecology & Obstetrics, Nephrology, Neurology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Pulmonology, Radiology, Urology",1995,4.0
90,Indore City Care Hospital,Indore,Madhya Pradesh,Tier 2,Private,212,27,6,"ENT, Endocrinology, General Medicine, General Surgery, Pulmonology, Radiology",1986,4.5
91,Indore Institute of Medical Sciences #3,Indore,Madhya Pradesh,Tier 2,Government,404,65,17,"Anesthesiology, Cardiology, Dermatology, ENT, Emergency Medicine, Endocrinology, Gastroenterology, General Surgery, Gynecology & Obstetrics, Nephrology, Neurology, Oncology, Pediatrics, Psychiatry, Pulmonology, Radiology, Urology",2020,4.8
92,Nagpur Institute of Medical Sciences,Nagpur,Maharashtra,Tier 2,Government,361,82,10,"ENT, Emergency Medicine, Endocrinology, General Medicine, Gynecology & Obstetrics, Oncology, Ophthalmology, Pediatrics, Psychiatry, Radiology",1981,4.6
93,Nagpur Wellness & Research Hospital,Nagpur,Maharashtra,Tier 2,Government,109,27,11,"Cardiology, Dermatology, Emergency Medicine, General Surgery, Nephrology, Ophthalmology, Pediatrics, Psychiatry, Pulmonology, Radiology, Urology",1990,3.3
94,Nagpur District Hospital,Nagpur,Maharashtra,Tier 2,Government,154,20,9,"ENT, General Surgery, Gynecology & Obstetrics, Nephrology, Oncology, Ophthalmology, Psychiatry, Pulmonology, Urology",1980,4.3
95,St. Mary's Hospital Nagpur,Nagpur,Maharashtra,Tier 2,Trust/NGO,213,25,8,"Dermatology, Emergency Medicine, Gastroenterology, Neurology, Oncology, Orthopedics, Radiology, Urology",1963,3.4
96,Nagpur District Hospital #2,Nagpur,Maharashtra,Tier 2,Private,508,96,15,"Cardiology, Dermatology, Emergency Medicine, Gastroenterology, General Medicine, General Surgery, Gynecology & Obstetrics, Nephrology, Neurology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Pulmonology, Radiology",2021,3.3
